timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583149082659,0,-274,-6.0205078124999997E-5,43,70,45,1493252,123176,69351,16747,19013,28351,17339,4765,Tag0,unknown
1583149090572,0,59,1.29638671875E-5,43,70,45,1493252,123176,69351,16747,19013,28351,17339,4765,Tag0,unknown
1583149099090,0,9,1.9775390625E-6,48,64,45,220805,16776739,5270,29030,19555,8414,6164,747,Tag0,unknown
1583149115799,0,562,1.23486328125E-4,38,81,45,398872,288046,19462,36498,95737,24218,32023,9819,Tag0,unknown
1583149123529,0,-79,-1.7358398437500003E-5,38,81,76,398872,288046,19462,36498,95737,24218,32023,9819,Tag0,unknown
1583149131608,0,39,8.5693359375E-6,37,70,39,1461661,380990,92239,23932,16750644,14400,19293,9601,Tag0,unknown
