timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1583148897393,0,196,4.306640625E-5,50,27,76,1647920,44465,16746241,12462,16747044,20420,26319,6178,Tag0,unknown
1583148902393,0,-309,-6.78955078125E-5,63,60,62,878840,885868,278885,16773220,16771251,16752182,29393,25228,Tag0,unknown
1583148910021,0,-277,-6.0864257812500005E-5,47,81,42,838762,814885,116201,22781,16763639,30507,73377,12479,Tag0,unknown
1583148918127,0,71,1.56005859375E-5,64,41,42,963544,198313,13162,97329,11164,16749105,16715,11818,Tag0,unknown
1583148923139,0,-481,-1.056884765625E-4,41,50,36,882332,124787,72098,265043,162991,30550,150332,16764168,Tag0,unknown
1583148930555,0,64,1.40625E-5,88,43,51,1998043,1774319,16744975,106351,67982,54615,63064,16763164,Tag0,unknown
1583148938874,0,11,2.4169921875E-6,47,75,45,1510498,179795,86627,16748482,16767714,20483,27386,4377,Tag0,unknown
1583148946598,0,45,9.8876953125E-6,43,51,42,531967,170755,16747939,135678,16760169,26848,16756140,21450,Tag0,unknown
