Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Class
0.8232803,0.46903354,0.5787349,1.6921207,0.9107177,0.38726744,0.12540847,1.1133199,1.1135542,0.51736003,0.6017315,0.8809903,0.805623,0.34287277,0.33718625,0.5018963,0.27293742,-0.022467297,0.21081229,0.15549709,S
1.1586411,0.5302544,0.9537367,1.6921207,1.1091554,0.465734,0.6932621,1.1133199,0.9089115,0.620199,0.9390048,0.8809903,1.0211195,0.41195735,0.37392613,0.5018963,0.1834939,-0.15051116,0.17425674,0.15549709,S
1.0800014,0.650597,0.9762144,1.6921207,1.1491904,0.4774979,0.65861654,1.1133199,1.1355071,0.6125688,0.9370676,0.8809903,1.1903034,0.45588577,0.3221796,0.5018963,0.5297762,-0.12371214,0.22000979,0.15549709,S
1.1434953,0.036924984,0.27064946,1.6921207,0.84911054,-0.2158753,-0.19639908,1.1133199,1.2852927,0.10810506,-0.057616673,0.8809903,1.0916002,0.37489873,0.3712177,0.5018963,0.49970308,0.003604916,0.19760121,0.15549709,S
0.8063778,0.49122515,0.6410325,1.6921207,0.8612418,0.44770914,0.2290307,1.1133199,1.3210002,0.55067086,0.46922845,0.8809903,1.0569901,0.39222234,0.35170868,0.5018963,0.51401055,0.083421655,0.029813517,0.15549709,S
0.55306333,0.8680121,0.86535716,1.6921207,0.6744452,0.7884925,0.44149056,1.1133199,0.85991824,0.58979213,0.50147253,0.8809903,0.79649657,0.33128136,0.40369853,0.5018963,0.34943265,0.020192673,0.07763102,0.15549709,S
0.55306333,0.22965075,0.39398736,1.6921207,0.6744452,-0.26989782,0.008389301,1.1133199,0.85991824,0.17846838,0.034964465,0.8809903,0.79649657,0.22800657,0.4982687,0.5018963,0.34943265,-0.11331041,0.16605869,0.15549709,S
0.55306333,0.535395,0.45349693,0.9234418,0.6744452,0.12444844,-0.004824765,0.89028364,0.85991824,0.16349755,0.009710959,0.94608665,0.79649657,0.3482256,0.5699945,0.637204,0.34943265,0.17972632,0.1733587,0.28318572,S
0.55306333,0.46881932,0.679303,1.1509945,0.6744452,0.18326406,-0.022003138,0.6285346,0.85991824,0.14372338,0.051592328,0.7717704,0.79649657,0.40151712,0.72228366,0.58648413,0.34943265,0.11109788,0.15167792,0.24195218,S
0.55306333,0.061858974,0.6256546,1.1509945,0.6744452,-0.5073833,-0.06827798,0.6285346,0.85991824,-0.16179456,0.025912456,0.7717704,0.79649657,0.4315972,0.5869389,0.58648413,0.34943265,0.09904475,0.16468215,0.24195218,S
1.0758958,0.20281953,0.34529427,1.1509945,0.7907665,-0.40376538,-0.084043376,0.6285346,1.0749613,-0.21602218,-0.21476649,0.7717704,0.8602237,0.39667353,0.59152347,0.58648413,0.9228983,0.05996997,0.18107979,0.24195218,S
1.0915899,0.20281953,0.34529427,1.1509945,0.80423695,-0.40376538,-0.084043376,0.6285346,0.9920171,-0.21602218,-0.21476649,0.7717704,0.8796637,0.39667353,0.59152347,0.58648413,0.9610541,0.05996997,0.18107979,0.24195218,S
0.7571169,0.6668013,1.1013967,1.1509945,0.60996836,0.5064318,0.9632276,0.6285346,0.59114295,0.45585522,0.6500088,0.7717704,0.42649242,0.26811245,0.4301289,0.58648413,0.17088097,-0.005337231,0.2887493,0.24195218,S
0.7571169,1.0964831,0.970174,1.1509945,0.60996836,0.8914816,0.8335536,0.6285346,0.59114295,0.5372153,0.65240574,0.7717704,0.42649242,0.40520933,0.37549835,0.58648413,0.17088097,0.09591436,0.23744097,0.24195218,S
0.53071254,0.33480826,0.67892367,1.3655123,0.68776256,0.3037441,0.020550666,1.1083707,0.8050224,0.23344208,0.44504046,0.7591329,0.7470654,0.32209805,0.39666578,0.6203927,-0.08853876,0.011827609,0.12567557,0.24151704,S
0.44355708,1.0082552,0.96948856,1.5087537,0.7890054,0.6957948,0.50925493,1.2340444,0.8050224,0.605553,0.4989843,0.7439937,0.9084306,0.22982134,0.36266834,0.69957566,-0.071787715,0.005395726,0.05379028,0.2732471,S
0.44355708,1.0895433,1.0617027,1.5087537,0.7890054,0.636289,0.5900611,1.2340444,0.8050224,0.63024145,0.42390737,0.7439937,0.9084306,0.21098019,0.3348065,0.69957566,-0.071787715,0.023535501,0.11589486,0.2732471,S
0.7381614,0.7539183,0.8122068,1.5087537,0.62509704,0.5459611,0.28287718,1.2340444,1.006508,0.60111946,0.53611124,0.7439937,0.73948723,0.14211738,0.30413914,0.69957566,-0.04083942,-0.06266685,0.12471707,0.2732471,S
0.6348732,0.8030724,0.7608582,0.64308256,0.6862995,0.54354244,0.38778722,0.71975034,1.0114868,0.60235006,0.5752404,0.8059251,0.6293671,0.27335614,0.2572317,0.54392356,0.021977143,0.014249656,0.13711123,0.3274137,S
0.9240983,0.6824562,0.6416268,1.3135189,0.8891068,0.3809287,0.2105821,1.3455287,0.79355633,0.3605611,0.43230793,1.1060606,0.59817374,0.36069798,0.18558587,0.6862024,0.014653222,-0.001695722,-0.1271305,0.30432472,S
1.0546211,0.8765102,0.9667475,1.6574693,0.9981108,0.5930213,0.44420788,1.6029348,0.76694834,0.3516041,0.4443325,1.1034697,0.57799864,0.29991308,0.8225357,0.8350039,0.006330582,-0.07451175,0.6938142,0.27451715,S
0.7190167,0.49690017,0.6535705,1.6574693,0.8308631,0.27936623,0.15320142,1.6029348,1.274495,0.4810991,0.4678235,1.1034697,0.91190875,0.54939073,0.76808995,0.8350039,0.5295979,0.33949378,0.4503039,0.27451715,S
0.67036587,-0.004431136,0.02274585,1.6574693,0.82440484,0.17353716,-0.23944601,1.6029348,1.274495,0.23841548,0.12161385,1.1034697,0.93505853,0.4314899,0.6035305,0.8350039,0.55174583,0.4127775,0.44955343,0.27451715,S
0.60626507,1.2067573,0.25552267,1.6574693,0.5858642,0.81848204,-0.22591195,1.6029348,0.6980264,0.59855133,0.01968632,1.1034697,0.9406597,0.51326495,0.21706249,0.8350039,0.34080145,0.15138115,0.42776015,0.27451715,S
0.60626507,1.5276703,0.3102438,1.6574693,0.5858642,1.0272074,-0.21297948,1.6029348,0.6980264,0.56052595,0.018682653,1.1034697,0.9406597,0.6189382,0.21307994,0.8350039,0.34080145,0.078359604,0.37525696,0.27451715,S
0.6836758,1.5276703,0.3102438,1.6574693,0.6581747,1.0272074,-0.21297948,1.6029348,0.93809366,0.56052595,0.018682653,1.1034697,0.8856131,0.6189382,0.21307994,0.8350039,0.31641746,0.078359604,0.37525696,0.27451715,S
1.0589652,1.5276703,0.3102438,1.6574693,1.1433063,1.0272074,-0.21297948,1.6029348,1.0365574,0.56052595,0.018682653,1.1034697,0.9427742,0.6189382,0.21307994,0.8350039,0.3813862,0.078359604,0.37525696,0.27451715,S
1.2286813,0.6834641,0.55095345,1.6574693,1.3108232,0.011320259,0.2847798,1.6029348,1.1625541,0.07426621,0.5887774,1.1034697,1.0092999,0.48656893,0.462695,0.8350039,0.45834532,0.002384651,0.30391222,0.27451715,S
1.2286813,0.4946656,0.4792797,1.6574693,1.3108232,-0.044606663,-0.007109119,1.6029348,1.1625541,0.21719395,0.018328547,1.1034697,1.0092999,0.5677954,0.46985185,0.8350039,0.45834532,0.19002528,0.34601262,0.27451715,S
0.45115948,0.30179238,0.5256598,0.59659874,0.5763593,-0.19754112,-0.1686281,0.4154719,0.92485553,0.11723111,0.3093047,0.7989672,0.88362736,0.40268353,0.4905286,0.68743116,0.26144746,0.18862294,0.31844,0.34113634,S
0.95414335,1.077089,1.1597174,0.8867936,0.74303126,0.60438955,0.76515675,0.9851644,1.0671653,0.6275944,0.68157095,0.9371007,0.73464876,0.40293804,0.3565891,0.587374,0.39443114,0.21941529,0.29871556,0.424323,S
1.2635064,1.2255596,1.3584183,1.2246702,1.0159348,0.8385506,0.98747694,1.2963085,1.0671653,0.60119975,0.6812781,0.76919276,0.6473109,0.4887963,0.37841788,0.58715355,0.47300485,0.14769185,0.305572,0.48080075,S
1.2635064,0.7958557,1.3584183,1.2246702,1.0159348,0.10638327,0.98747694,1.2963085,1.0671653,-0.09522494,0.6812781,0.76919276,0.6473109,0.24720584,0.37841788,0.58715355,0.47300485,0.035084702,0.305572,0.48080075,S
1.2635064,0.7958557,0.86087036,1.2246702,1.0159348,0.10638327,0.25142956,1.2963085,1.0671653,-0.09522494,0.13321766,0.76919276,0.6473109,0.24720584,0.3930532,0.58715355,0.47300485,0.035084702,0.038618002,0.48080075,S
1.2635064,0.7958557,1.139229,1.2246702,1.0159348,0.10638327,0.80286926,1.2963085,1.0671653,-0.09522494,0.7705051,0.76919276,0.6473109,0.24720584,0.43515366,0.58715355,0.47300485,0.035084702,0.17512885,0.48080075,S
1.0097209,0.9312811,0.974451,1.2246702,0.79724324,-0.00822036,0.7986114,1.2963085,1.0608349,0.12500523,0.78557926,0.76919276,0.84391767,0.20866495,0.25982416,0.58715355,0.28030318,0.039825585,0.09601072,0.48080075,S
1.0763173,0.8096035,0.70753264,1.2246702,0.7645804,0.44766924,0.19644898,1.2963085,0.96108556,0.28106305,0.62651175,0.76919276,0.7246028,0.3339673,0.3467137,0.58715355,0.20323285,0.17621785,-0.13358918,0.48080075,S
0.23579922,0.39421934,0.4933634,1.2246702,0.4847742,0.31377745,-0.002774635,1.2963085,0.8924479,0.29024258,0.6031048,0.76919276,0.6104239,0.31857446,0.31389382,0.58715355,0.22503059,0.18044557,0.07242821,0.48080075,S
0.6293342,-0.017279306,0.43968385,1.2246702,0.43420586,-0.20849046,-0.22795257,1.2963085,0.99893254,0.12658155,0.15721323,0.76919276,0.6318075,0.15095158,0.20939489,0.58715355,0.19577211,0.054184813,0.13645193,0.48080075,S
0.89192134,0.6937473,0.86007136,1.2246702,0.43557975,-0.061557412,0.01874258,1.2963085,0.91424155,0.13517869,0.33030593,0.76919276,0.72815806,0.3171009,0.36703864,0.58715355,0.11778158,0.12145223,0.24078111,0.48080075,S
